"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-JA-2019-141832",730336,400694.11,0,-5.751047499999999,37.093815,160673.92
"SUB-JA-2019-141848",119232.54,50267.83,119232.54,-16.2904635,28.4668189,85847.4
"SUB-JA-2019-141870",44930.59,2199,44930.59,-3.6243133,40.4331811,77280.46
"SUB-JA-2019-141873",214966.49,77771.11,214966.49,2.6760251,39.5617364,350000
"SUB-JA-2019-141893",350000.56,212451.91,350000.56,-1.8525626,38.9873668,259000.37
"SUB-JA-2019-141896",238118.4,137148.35,0,-4.4323576,36.7386916,123821.62
"SUB-JA-2019-141897",113185.18,2664,0,-4.961064899999999,36.5011094,76965.8
"SUB-JA-2019-141902",128598.6,62559.65,0,-5.6431662,40.9645368,71001
"SUB-JA-2019-141909",79580,45263.24,0,-5.6037465,37.887709,47748
"SUB-JA-2019-141919",282545,85530.09,0,2.1855573,41.38427009999999,101716.2
"SUB-JA-2019-141928",48888,21387.11,0,-0.48209,38.359047,32266.08
"SUB-JA-2019-141935",222951,78733.02,0,,,89460
"SUB-JA-2019-141938",1809128,1116097.59,0,3.0375914,39.8799622,904564
"SUB-JA-2019-141940",10119.1,25946,0,-4.0963821,36.7372514,5261.88
"SUB-JA-2019-141946",719100,576039.24,0,-3.5053993,40.3426361,273258
"SUB-JA-2019-141956",13489.7,15284.12,0,-0.0466559,38.6215091,7014.54
"SUB-JA-2019-141958",4779978.64,2445823.02,4779978.64,2.8377656,39.4726336,3154785.81
"SUB-JA-2019-141960",64778.3,41730,0,-6.402411799999999,39.5015737,1295.56
"SUB-JA-2019-141967",1573,6858,0,-16.4729811,28.4329924,471.9
"SUB-JA-2019-141971",244947,128796.68,0,-3.654719499999999,40.4729146,132271.38
"SUB-JA-2019-141973",200400,109050.91,0,-15.4522071,28.1038249,144288
"SUB-JA-2019-141979",146851.04,126100.37,0,-15.4393074,28.1328796,152725.04
"SUB-JA-2019-141984",346000,173372.73,0,1.9636914,41.2792267,173300
"SUB-JA-2019-142003",79369.98,7819.38,0,-4.707061599999999,42.1596433,12699.12
"SUB-JA-2019-142013",25771.78,12438.4,0,-5.080691799999999,36.7813646,13401.18
"SUB-JA-2019-142015",259936.4,140687.6,0,1.9636914,41.2792267,166659.04
"SUB-JA-2019-142023",162084,157965.59,162084,2.181871000000001,41.4531556,0
"SUB-JA-2019-142024",52275,36000,0,-6.6307005,42.5501885,32410.5
"SUB-JA-2019-142035",307496,162578.1,0,-3.7714464,40.224627,15000
"SUB-JA-2019-142041",61250.65,16983.42,0,-5.9251211,37.4212157,73500.6
"SUB-JA-2019-142048",184680,139448.35,0,-3.8216453,43.4627542,129276
"SUB-JA-2019-142053",17632.11,319100.26,17632.11,-3.644582,40.422369,11400
